MOBYGAMES,PlatformMap_MOBYGAMES
Kindle Classic,Kindle Classic
LaserActive,LaserActive
Leapster,Leapster
Linux,Linux
Lynx,Atari Lynx
MSX,MSX
Macintosh,Apple Mac OS
Maemo,Maemo
Mainframe,PC
Mattel Aquarius,Attel Aquarius
MeeGo,MeeGo
Memotech MTX,Memotech MTX
Microbee,Microbee
Microvision,Microvision
Mophun,Mophun
N-Gage,Nokia N-Gage
N-Gage (service),Nokia N-Gage
NES,Nintendo Entertainment System
Nascom,Nascom
Neo Geo,SNK Neo Geo
Neo Geo CD,SNK Neo Geo CD
Neo Geo Pocket,SNK Neo Geo Pocket
Neo Geo Pocket Color,SNK Neo Geo Pocket
New Nintendo 3DS,Nintendo 3DS
NewBrain,NewBrain
Newton,Newton
Nintendo 3DS,Nintendo 3DS
Nintendo 64,Nintendo 64
Nintendo DS,Nintendo DS
Nintendo DSi,Nintendo DSi
Nintendo Switch,Nintendo Switch
Nuon,NUON
OS/2,PC
Odyssey,Odyssey
Odyssey 2,Odyssey 2
Ohio Scientific,Ohio Scientific
Oric,Oric
Ouya,Ouya
PC Booter,PC
PC-6001,NEC PC Engine
PC-8000,NEC PC Engine
PC-88,NEC PC Engine
PC-98,NEC PC Engine
PC-FX,NEC PC Engine
PS Vita,Sony PlayStation Vita
PSP,Sony PlayStation Portable
Palm OS,Mobile
Philips VG 5000,Philips VG5000
Pippin,Pippin
PlayStation,Sony PlayStation
PlayStation 2,Sony PlayStation 2
PlayStation 3,Sony PlayStation 3
PlayStation 4,Sony PlayStation 4
Playdia,Playdia
Pokémon Mini,Pokemon Mini
RCA Studio II,RCA Studio II
Roku,Roku
SAM Coupé,SAM Coupé
SEGA 32X,Sega Mega Drive 32X
SEGA CD,Sega Mega Drive
SEGA Master System,Sega Master System
SEGA Pico,Sega Pico
SEGA Saturn,Sega Saturn
SG-1000,SG-1000
SNES,Super Nintendo Entertainment System
Sharp MZ-80B/2000/2500,PC
Sharp MZ-80K/700/800/1500,PC
Sharp X1,PC
Sharp X68000,PC
Sharp Zaurus,PC
Sinclair QL,Sinclair QL
Sol-20,Sol-20
Sord M5,Sord M5
Spectravideo,Spectravideo
Super A'can,Super A'can
SuperGrafx,NEC PC Engine
Supervision,Supervision
Symbian,Symbian
TADS,TADS
TI-99/4A,TI-99/4A
TRS-80,TRS-80
TRS-80 CoCo,TRS-80 CoCo
TRS-80 MC-10,TRS-80 MC-10
Tatung Einstein,Tatung Einstein
Thomson MO,Thomson MO
Thomson TO,Thomson TO
Timex Sinclair 2068,Timex Sinclair 2068
Tizen,Tizen
Tomy Tutor,Tomy Tutor
TurboGrafx CD,NEC PC Engine
TurboGrafx-16,NEC PC Engine
V.Smile,V. Smile
VIC-20,VIC-20
VIS,VIS
Vectrex,Vectrex
Videopac+ G7400,Videopac+ G7400
Virtual Boy,Nintendo Virtual Boy
Wii,Nintendo Wii
Wii U,Nintendo Wii U
Windows,PC
Windows 3.x,PC
Windows Apps,PC
Windows Mobile,Mobile
Windows Phone,Mobile
WonderSwan,Bandai WonderSwan
WonderSwan Color,Bandai WonderSwan Color
Xbox,Microsoft Xbox
Xbox 360,Microsoft Xbox 360
Xbox One,Microsoft Xbox One
Z-machine,Z-machine
ZX Spectrum,ZX Spectrum
ZX80,ZX80
ZX81,ZX81
Zeebo,Zeebo
Zodiac,Zodiac
bada,bada
digiBlast,digiBLAST
iPad,iPad
iPhone,iPhone
iPod Classic,iPod
tvOS,tvOS
watchOS,watchOS
webOS,PC
Adventure Vision,Adventure Vision
Zune,Zune
Terminal,Terminal
CreatiVision,CreatiVision
APF MP1000/Imagination Machine,APF MP1000/Imagination Machine
VideoBrain,VideoBrain
